cmd,nl
find / -name document -print,find all files/directories named 'document' in the entire filesystem
"find . -name ""sample*"" | xargs -i echo program {}-out {}",find all sample* files/directories under current directory and print 'program {}-out {}' where {} will expand to file paths
"find /dir -name ""filename*"" -type f -delete",delete all filename* files under /dir directory
df /full/path | grep -q /full/path,"check whether ""/full/path"" is a mount point with no output and using the exit code"
diff file2 file1 | grep '^>' | sed 's/^>\ //',"output all lines from file1 except those present in file2, assuming both files are sorted."
"pstree -a ""$PID""",prints process tree with command line arguments of a process having id $pid.
find . -type f -perm 0777 -print,find all the files in the current directory recursively whose permissions are 777
"find /usr /home  /tmp -name ""*.jar"" 2>/dev/null","list all *.jar files/directories under /usr, /home and /tmp directory without reporting errors"
kill -9 $(lsof -t -i:8080),"send sigkill signal to all processes using tcp port 8080, terminating them instantly."
find . -not -path '*/\.*' -type f -print0 | xargs -0 sed -i 's/subdomainA\.example\.com/subdomainB.example.com/g',find all files ignoring hidden files under current directory and replace every occurrences of 'subdomaina.example.com' with 'subdomainb.example.com' in those files
find  /   -print > masterfilelist.out,find all files/directories in the entire file system and redirect the output to masterfilelist.out file
find / -name filename -exec nano '{}' \;,open all files named 'filename' with 'nano' editor in the entire filesystem
mount --make-rprivate /,"recursively make all mounts under ""/"" private"
"alias my_command=""$oldalias -option 3""","set alias ""my_command"" for command ""$oldalias -option 3"""
find test -empty,find empty files in the test directory
find . -name \? -mtime +0,find all files in the current folder that have a single letter in their name and have not been modified today
find / -not -newer /tmp/t,search for all files not newer than file /tmp/t
find /path/to/dir ! -perm 0644 -exec chmod 0644 {} \;,change permissions to 644 for all regular files under the /path/to/dir/ tree unless these permissions are already set
find / \( -name 10_Recommended* -o -name share \) -prune -o -type f -name java -print 2>/dev/null,search for the regular/normal file java in the entire file system excluding search in the directories share and those starting with 10_recommended and discard all the errors
cd /cygdrive/c/Program\ Files\ \(x86\),go to directory /cygdrive/c/program files (x86) using backslashes to escape special characters
find . -type d -user harry -exec chown daisy {} \;,change the ownership to the user daisy for all directories under current directory that are owned by harry
